Motif	Factor	Evidence	Curated
M00070_2.00	GD12629	PBM	N
M00070_2.00	GI17415	PBM	N
M00070_2.00	GD12627	PBM	N
M00070_2.00	GI20453	PBM	N
M00070_2.00	GM26768	PBM	N
M00070_2.00	GI20689	PBM	N
M00070_2.00	GM24557	PBM	N
M00070_2.00	GI22315	PBM	N
M00070_2.00	GM24556	PBM	N
M00070_2.00	GM12920	PBM	N
M00070_2.00	GM17140	PBM	N
M00070_2.00	GL25564	PBM	N
M00070_2.00	GL24833	PBM	N
M00070_2.00	GL24831	PBM	N
M00070_2.00	GL17288	PBM	N
M00070_2.00	GH24007	PBM	N
M00070_2.00	GM20225	PBM	N
M00070_2.00	GM23104	PBM	N
M00070_2.00	GL13537	PBM	N
M00070_2.00	GL12097	PBM	N
M00070_2.00	GM24555	PBM	N
M00070_2.00	GL11646	PBM	N
M00070_2.00	GI22721	PBM	N
M00070_2.00	GL15612	PBM	N
M00070_2.00	GH23608	PBM	N
M00070_2.00	GH20178	PBM	N
M00070_2.00	GH20045	PBM	N
M00070_2.00	GF25206	PBM	N
M00070_2.00	GF25205	PBM	N
M00070_2.00	GJ21897	PBM	N
M00070_2.00	GJ22304	PBM	N
M00070_2.00	GF25204	PBM	N
M00070_2.00	GF20041	PBM	N
M00070_2.00	GG11790	PBM	N
M00070_2.00	GJ23448	PBM	N
M00070_2.00	GK10919	PBM	N
M00070_2.00	GF18413	PBM	N
M00070_2.00	GF17645	PBM	N
M00070_2.00	GK13587	PBM	N
M00070_2.00	GK17143	PBM	N
M00070_2.00	GF15546	PBM	N
M00070_2.00	GK10637	PBM	N
M00070_2.00	GK17144	PBM	N
M00070_2.00	GG13733	PBM	N
M00070_2.00	GJ11557	PBM	N
M00070_2.00	GH16347	PBM	N
M00070_2.00	GD23563	PBM	N
M00070_2.00	GH16344	PBM	N
M00070_2.00	GJ10502	PBM	N
M00070_2.00	GH13971	PBM	N
M00070_2.00	GJ11555	PBM	N
M00070_2.00	GJ16151	PBM	N
M00070_2.00	GH13864	PBM	N
M00070_2.00	GG23823	PBM	N
M00070_2.00	GG22917	PBM	N
M00070_2.00	GG22439	PBM	N
M00070_2.00	GG16436	PBM	N
M00070_2.00	GJ11556	PBM	N
M00070_2.00	GG13735	PBM	N
M00070_2.00	GG25303	PBM	N
M00070_2.00	GJ18351	PBM	N
M00070_2.00	GG13734	PBM	N
M00112_2.00	GJ11582	PBM	N
M00112_2.00	GA28469	PBM	N
M00112_2.00	GF23730	PBM	N
M00112_2.00	GI11327	PBM	N
M00112_2.00	GE19777	PBM	N
M00112_2.00	GG16206	PBM	N
M00112_2.00	GD14977	PBM	N
M00112_2.00	GK18142	PBM	N
M00112_2.00	GL18109	PBM	N
M00112_2.00	GE23038	PBM	N
M00112_2.00	GH14383	PBM	N
M00112_2.00	GM22388	PBM	N
M00114_2.00	GM22388	PBM	N
M00114_2.00	GK18142	PBM	N
M00114_2.00	GH14383	PBM	N
M00114_2.00	GJ11582	PBM	N
M00114_2.00	GA28469	PBM	N
M00114_2.00	GL18109	PBM	N
M00114_2.00	GD14977	PBM	N
M00114_2.00	GI11327	PBM	N
M00114_2.00	GG16206	PBM	N
M00114_2.00	GF23730	PBM	N
M00114_2.00	GE23038	PBM	N
M00114_2.00	GE19777	PBM	N
M00115_2.00	GG22872	PBM	N
M00115_2.00	GK23065	PBM	N
M00115_2.00	GH20664	PBM	N
M00115_2.00	GJ19993	PBM	N
M00115_2.00	GF13069	PBM	N
M00115_2.00	GD11780	PBM	N
M00115_2.00	GA18855	PBM	N
M00115_2.00	GE14310	PBM	N
M00115_2.00	GL16874	PBM	N
M00115_2.00	GI19027	PBM	N
M00115_2.00	GM16032	PBM	N
M00123_2.00	GD11529	PBM	N
M00124_2.00	GL26969	PBM	N
M00124_2.00	GD17392	PBM	N
M00124_2.00	GK20005	PBM	N
M00124_2.00	GG19161	PBM	N
M00124_2.00	GM22894	PBM	N
M00124_2.00	GI15475	PBM	N
M00124_2.00	GF22432	PBM	N
M00124_2.00	GA22328	PBM	N
M00124_2.00	GE17723	PBM	N
M00124_2.00	GH17726	PBM	N
M00125_2.00	GE16537	PBM	N
M00125_2.00	GD16430	PBM	N
M00125_2.00	GL14394	PBM	N
M00125_2.00	GK19912	PBM	N
M00125_2.00	GA10981	PBM	N
M00125_2.00	GJ16954	PBM	N
M00125_2.00	GI21781	PBM	N
M00125_2.00	GG12710	PBM	N
M00125_2.00	GM18988	PBM	N
M00125_2.00	GH24925	PBM	N
M00126_2.00	GD11529	PBM	N
M00126_2.00	GK21710	PBM	N
M00133_2.00	GF18887	PBM	N
M00133_2.00	GK11712	PBM	N
M00133_2.00	GD18309	PBM	N
M00133_2.00	GG12363	PBM	N
M00133_2.00	GE10816	PBM	N
M00133_2.00	GL24133	PBM	N
M00133_2.00	GH18919	PBM	N
M00133_2.00	GA19045	PBM	N
M00133_2.00	GI23419	PBM	N
M00133_2.00	GM23502	PBM	N
M00133_2.00	GJ14523	PBM	N
M00134_2.00	GL21001	PBM	N
M00134_2.00	GM20477	PBM	N
M00134_2.00	GL20646	PBM	N
M00134_2.00	GD25946	PBM	N
M00134_2.00	GI19759	PBM	N
M00134_2.00	GM14583	PBM	N
M00134_2.00	GK20661	PBM	N
M00134_2.00	GD13775	PBM	N
M00134_2.00	GK20520	PBM	N
M00134_2.00	GF12443	PBM	N
M00134_2.00	GI12500	PBM	N
M00134_2.00	GH20565	PBM	N
M00134_2.00	GG15151	PBM	N
M00134_2.00	GH16421	PBM	N
M00134_2.00	GJ12406	PBM	N
M00134_2.00	GG22702	PBM	N
M00134_2.00	GE21373	PBM	N
M00134_2.00	GJ18175	PBM	N
M00134_2.00	GF24217	PBM	N
M00134_2.00	GE13058	PBM	N
M00153_2.00	E2f2	PBM	N
M00153_2.00	GF17810	PBM	N
M00153_2.00	GG14417	PBM	N
M00153_2.00	GE24969	PBM	N
M00153_2.00	GG21521	PBM	N
M00153_2.00	GE13001	PBM	N
M00153_2.00	GH13220	PBM	N
M00153_2.00	GK21054	PBM	N
M00153_2.00	GH19495	PBM	N
M00153_2.00	GF15156	PBM	N
M00153_2.00	GK12076	PBM	N
M00153_2.00	GI14521	PBM	N
M00153_2.00	GJ16286	PBM	N
M00153_2.00	GI23766	PBM	N
M00153_2.00	GD21651	PBM	N
M00153_2.00	GL21507	PBM	N
M00153_2.00	GD19970	PBM	N
M00153_2.00	GM23275	PBM	N
M00153_2.00	GM11000	PBM	N
M00153_2.00	GL25864	PBM	N
M00153_2.00	GJ23948	PBM	N
M00153_2.00	GA19549	PBM	N
M00153_2.00	GA10512	PBM	N
M00154_2.00	GK12076	PBM	N
M00154_2.00	GG14417	PBM	N
M00154_2.00	GE24969	PBM	N
M00154_2.00	GG21521	PBM	N
M00154_2.00	GE13001	PBM	N
M00154_2.00	GH13220	PBM	N
M00154_2.00	GK21054	PBM	N
M00154_2.00	GH19495	PBM	N
M00154_2.00	GF15156	PBM	N
M00154_2.00	GJ23948	PBM	N
M00154_2.00	GI14521	PBM	N
M00154_2.00	E2f2	PBM	N
M00154_2.00	GF17810	PBM	N
M00154_2.00	GI23766	PBM	N
M00154_2.00	GL25864	PBM	N
M00154_2.00	GJ16286	PBM	N
M00154_2.00	GM11000	PBM	N
M00154_2.00	GM23275	PBM	N
M00154_2.00	GA19549	PBM	N
M00154_2.00	GD19970	PBM	N
M00154_2.00	GA10512	PBM	N
M00154_2.00	GD21651	PBM	N
M00154_2.00	GL21507	PBM	N
M00156_2.00	GD12395	PBM	N
M00156_2.00	GF23901	PBM	N
M00156_2.00	GL25033	PBM	N
M00156_2.00	GE22135	PBM	N
M00156_2.00	GM24322	PBM	N
M00156_2.00	Eip74EF	PBM	N
M00156_2.00	GH15352	PBM	N
M00156_2.00	GJ13099	PBM	N
M00156_2.00	GG15800	PBM	N
M00156_2.00	GK10811	PBM	N
M00156_2.00	GI12956	PBM	N
M00157_2.00	GJ23541	PBM	N
M00157_2.00	GK24433	PBM	N
M00157_2.00	GL13628	PBM	N
M00157_2.00	GD22871	PBM	N
M00157_2.00	GI16971	PBM	N
M00157_2.00	GA16373	PBM	N
M00157_2.00	GH14255	PBM	N
M00157_2.00	GJ10451	PBM	N
M00157_2.00	GK15139	PBM	N
M00157_2.00	GM10156	PBM	N
M00157_2.00	GH10509	PBM	N
M00157_2.00	GF18561	PBM	N
M00157_2.00	GJ12736	PBM	N
M00157_2.00	GE10607	PBM	N
M00157_2.00	GG12163	PBM	N
M00157_2.00	GK22561	PBM	N
M00157_2.00	GA30133	PBM	N
M00157_2.00	GM14757	PBM	N
M00157_2.00	GJ13099	PBM	N
M00157_2.00	GG15800	PBM	N
M00157_2.00	GM23994	PBM	N
M00157_2.00	GL27261	PBM	N
M00157_2.00	GD21130	PBM	N
M00157_2.00	GK14107	PBM	N
M00157_2.00	GA15514	PBM	N
M00157_2.00	GI12956	PBM	N
M00157_2.00	GD13937	PBM	N
M00157_2.00	GL23032	PBM	N
M00157_2.00	GL25033	PBM	N
M00157_2.00	GD18111	PBM	N
M00157_2.00	GG24643	PBM	N
M00157_2.00	GF23047	PBM	N
M00157_2.00	GL19420	PBM	N
M00157_2.00	GI12615	PBM	N
M00157_2.00	GH15833	PBM	N
M00157_2.00	GA19521	PBM	N
M00157_2.00	GD18390	PBM	N
M00157_2.00	GL19256	PBM	N
M00157_2.00	GF23517	PBM	N
M00157_2.00	GG11319	PBM	N
M00157_2.00	GG24554	PBM	N
M00157_2.00	GL15553	PBM	N
M00157_2.00	GD12395	PBM	N
M00157_2.00	GM24322	PBM	N
M00157_2.00	GI23211	PBM	N
M00157_2.00	GI23566	PBM	N
M00157_2.00	GK10811	PBM	N
M00157_2.00	GE23515	PBM	N
M00157_2.00	GE15223	PBM	N
M00157_2.00	GA23445	PBM	N
M00157_2.00	pnt	PBM	N
M00157_2.00	GG15322	PBM	N
M00157_2.00	GJ19705	PBM	N
M00157_2.00	GE22135	PBM	N
M00157_2.00	GH19112	PBM	N
M00157_2.00	GH11475	PBM	N
M00157_2.00	GE23966	PBM	N
M00157_2.00	GH15352	PBM	N
M00157_2.00	GI18027	PBM	N
M00157_2.00	GJ22870	PBM	N
M00157_2.00	GF23901	PBM	N
M00157_2.00	GI23149	PBM	N
M00157_2.00	GF15305	PBM	N
M00157_2.00	GM23674	PBM	N
M00157_2.00	GM26627	PBM	N
M00157_2.00	GK12243	PBM	N
M00157_2.00	GG12443	PBM	N
M00157_2.00	GH20735	PBM	N
M00157_2.00	GK17265	PBM	N
M00157_2.00	GA19934	PBM	N
M00157_2.00	GE16051	PBM	N
M00157_2.00	GM16660	PBM	N
M00157_2.00	aop	PBM	N
M00157_2.00	GE21541	PBM	N
M00157_2.00	GF24707	PBM	N
M00157_2.00	Eip74EF	PBM	N
M00157_2.00	GF18013	PBM	N
M00158_2.00	GE22135	PBM	N
M00158_2.00	GD12395	PBM	N
M00158_2.00	GF23901	PBM	N
M00158_2.00	GK10811	PBM	N
M00158_2.00	GI12956	PBM	N
M00158_2.00	GL25033	PBM	N
M00158_2.00	GJ13099	PBM	N
M00158_2.00	GH15352	PBM	N
M00158_2.00	Eip74EF	PBM	N
M00158_2.00	GG15800	PBM	N
M00158_2.00	GM24322	PBM	N
M00159_2.00	GH16564	PBM	N
M00159_2.00	GG11574	PBM	N
M00159_2.00	GL25033	PBM	N
M00159_2.00	Eip74EF	PBM	N
M00159_2.00	GK10811	PBM	N
M00159_2.00	GJ10475	PBM	N
M00159_2.00	GD12395	PBM	N
M00159_2.00	GI12956	PBM	N
M00159_2.00	GG15800	PBM	N
M00159_2.00	GE23760	PBM	N
M00159_2.00	GL13714	PBM	N
M00159_2.00	GE22135	PBM	N
M00159_2.00	GF23901	PBM	N
M00159_2.00	GA27000	PBM	N
M00159_2.00	GK11770	PBM	N
M00159_2.00	GF16302	PBM	N
M00159_2.00	GM16357	PBM	N
M00159_2.00	GM24322	PBM	N
M00159_2.00	GI22028	PBM	N
M00159_2.00	GD21351	PBM	N
M00159_2.00	GJ13099	PBM	N
M00159_2.00	GH15352	PBM	N
M00160_2.00	GK15483	PBM	N
M00160_2.00	GL18682	PBM	N
M00160_2.00	GG13935	PBM	N
M00160_2.00	GJ18555	PBM	N
M00160_2.00	GL22763	PBM	N
M00160_2.00	GG22808	PBM	N
M00160_2.00	GE18262	PBM	N
M00160_2.00	GM18442	PBM	N
M00160_2.00	GE17344	PBM	N
M00160_2.00	GG18013	PBM	N
M00160_2.00	GK13409	PBM	N
M00160_2.00	GI18113	PBM	N
M00160_2.00	GE14241	PBM	N
M00160_2.00	GD11717	PBM	N
M00160_2.00	GD15555	PBM	N
M00160_2.00	GJ22399	PBM	N
M00160_2.00	GK20787	PBM	N
M00160_2.00	GI20546	PBM	N
M00160_2.00	GK25667	PBM	N
M00160_2.00	GM15965	PBM	N
M00160_2.00	GK20555	PBM	N
M00160_2.00	GJ23621	PBM	N
M00160_2.00	GI10909	PBM	N
M00160_2.00	GM22695	PBM	N
M00160_2.00	GH21797	PBM	N
M00160_2.00	GH19587	PBM	N
M00160_2.00	GD23260	PBM	N
M00160_2.00	GL10130	PBM	N
M00160_2.00	GE20234	PBM	N
M00160_2.00	GA23375	PBM	N
M00160_2.00	GH14639	PBM	N
M00160_2.00	GL15821	PBM	N
M00160_2.00	GH12162	PBM	N
M00160_2.00	GL16060	PBM	N
M00160_2.00	GI11623	PBM	N
M00160_2.00	GG24971	PBM	N
M00160_2.00	fd19B	PBM	N
M00160_2.00	GF13549	PBM	N
M00160_2.00	GA17601	PBM	N
M00160_2.00	GF15038	PBM	N
M00160_2.00	GA14117	PBM	N
M00160_2.00	GA10915	PBM	N
M00160_2.00	GF25022	PBM	N
M00160_2.00	fd68A	PBM	N
M00162_2.00	GI23781	PBM	N
M00162_2.00	GH18035	PBM	N
M00162_2.00	GK13404	PBM	N
M00162_2.00	GE10507	PBM	N
M00162_2.00	GI22864	PBM	N
M00162_2.00	GF17887	PBM	N
M00162_2.00	GM14607	PBM	N
M00162_2.00	GK13405	PBM	N
M00162_2.00	GI23783	PBM	N
M00162_2.00	GA10915	PBM	N
M00162_2.00	GI12553	PBM	N
M00162_2.00	GH18716	PBM	N
M00162_2.00	GK17509	PBM	N
M00162_2.00	GH18036	PBM	N
M00162_2.00	GF16437	PBM	N
M00162_2.00	GA10002	PBM	N
M00162_2.00	GE23556	PBM	N
M00162_2.00	GJ23595	PBM	N
M00162_2.00	GG12065	PBM	N
M00162_2.00	GD13797	PBM	N
M00162_2.00	GM17800	PBM	N
M00162_2.00	GM16286	PBM	N
M00162_2.00	GD18028	PBM	N
M00162_2.00	GG11359	PBM	N
M00162_2.00	GF25022	PBM	N
M00162_2.00	GK10997	PBM	N
M00162_2.00	GL23472	PBM	N
M00162_2.00	GE21395	PBM	N
M00162_2.00	fkh	PBM	N
M00162_2.00	GL16060	PBM	N
M00162_2.00	GJ15456	PBM	N
M00162_2.00	GL21898	PBM	N
M00162_2.00	GG15176	PBM	N
M00163_2.00	fd68A	PBM	N
M00163_2.00	GM24770	PBM	N
M00163_2.00	GD12820	PBM	N
M00163_2.00	GL18683	PBM	N
M00163_2.00	GJ16301	PBM	N
M00163_2.00	GI11623	PBM	N
M00163_2.00	GD15555	PBM	N
M00163_2.00	GA11206	PBM	N
M00163_2.00	fd19B	PBM	N
M00163_2.00	GL22763	PBM	N
M00163_2.00	GM22695	PBM	N
M00163_2.00	GI18115	PBM	N
M00163_2.00	GA15533	PBM	N
M00163_2.00	GJ11303	PBM	N
M00163_2.00	GK15484	PBM	N
M00163_2.00	GE17344	PBM	N
M00163_2.00	GF24569	PBM	N
M00163_2.00	GH14639	PBM	N
M00163_2.00	GH11194	PBM	N
M00163_2.00	GG18013	PBM	N
M00163_2.00	GE20234	PBM	N
M00163_2.00	GK20555	PBM	N
M00163_2.00	GG13935	PBM	N
M00164_2.00	GL18682	PBM	N
M00164_2.00	GL16060	PBM	N
M00164_2.00	GL15821	PBM	N
M00164_2.00	GJ18555	PBM	N
M00164_2.00	GA29323	PBM	N
M00164_2.00	GJ22399	PBM	N
M00164_2.00	GA23375	PBM	N
M00164_2.00	GE14241	PBM	N
M00164_2.00	GH15375	PBM	N
M00164_2.00	GL15052	PBM	N
M00164_2.00	GL18683	PBM	N
M00164_2.00	GL10130	PBM	N
M00164_2.00	GH15374	PBM	N
M00164_2.00	GG18013	PBM	N
M00164_2.00	GF23557	PBM	N
M00164_2.00	GG22808	PBM	N
M00164_2.00	fd19B	PBM	N
M00164_2.00	GG24971	PBM	N
M00164_2.00	GK25667	PBM	N
M00164_2.00	GL15055	PBM	N
M00164_2.00	GJ16301	PBM	N
M00164_2.00	GJ15456	PBM	N
M00164_2.00	GJ16300	PBM	N
M00164_2.00	GM18443	PBM	N
M00164_2.00	GM22695	PBM	N
M00164_2.00	GE18262	PBM	N
M00164_2.00	GM18442	PBM	N
M00164_2.00	GD11717	PBM	N
M00164_2.00	GD12117	PBM	N
M00164_2.00	GG13233	PBM	N
M00164_2.00	GE17344	PBM	N
M00164_2.00	GD13797	PBM	N
M00164_2.00	GD13983	PBM	N
M00164_2.00	GF23559	PBM	N
M00164_2.00	GD15555	PBM	N
M00164_2.00	GF25022	PBM	N
M00164_2.00	GM14811	PBM	N
M00164_2.00	GM14607	PBM	N
M00164_2.00	GD23260	PBM	N
M00164_2.00	GE18263	PBM	N
M00164_2.00	GG14397	PBM	N
M00164_2.00	GG15176	PBM	N
M00164_2.00	GJ13121	PBM	N
M00164_2.00	GJ13122	PBM	N
M00164_2.00	GI20546	PBM	N
M00164_2.00	GM15965	PBM	N
M00164_2.00	GK15483	PBM	N
M00164_2.00	GM22139	PBM	N
M00164_2.00	GA17601	PBM	N
M00164_2.00	GH11194	PBM	N
M00164_2.00	GA14117	PBM	N
M00164_2.00	GI18115	PBM	N
M00164_2.00	GH11193	PBM	N
M00164_2.00	GK16994	PBM	N
M00164_2.00	GA10915	PBM	N
